[slurm] host=nodemm07  job=831776  start=2026-05-22T19:14:02+00:00
[slurm] btype=dinov2 size=518 epochs=80 batch=32 lr=1e-3 head=conv out=dinoseg_dw_dinov2_518_conv
NVIDIA H100 NVL, 95830 MiB
  [best] mIoU_fg=0.4258 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e006 it0050/110 loss=0.3214 lr=9.84e-04 elapsed=6.5min
  e006 it0100/110 loss=0.3279 lr=9.82e-04 elapsed=6.8min
[epoch 006] train=0.3276  val_loss=0.3996  mIoU_fg=0.3837
  e007 it0050/110 loss=0.3064 lr=9.79e-04 elapsed=7.5min
  e007 it0100/110 loss=0.3139 lr=9.76e-04 elapsed=7.8min
[epoch 007] train=0.3111  val_loss=0.4093  mIoU_fg=0.4089
  e008 it0050/110 loss=0.2802 lr=9.73e-04 elapsed=8.5min
  e008 it0100/110 loss=0.3090 lr=9.70e-04 elapsed=8.8min
[epoch 008] train=0.3063  val_loss=0.4191  mIoU_fg=0.4228
  e009 it0050/110 loss=0.2799 lr=9.66e-04 elapsed=9.5min
  e009 it0100/110 loss=0.2802 lr=9.63e-04 elapsed=9.8min
[epoch 009] train=0.2763  val_loss=0.4256  mIoU_fg=0.4319
  [best] mIoU_fg=0.4319 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e010 it0050/110 loss=0.2537 lr=9.58e-04 elapsed=10.5min
  e010 it0100/110 loss=0.2539 lr=9.55e-04 elapsed=10.8min
[epoch 010] train=0.2517  val_loss=0.4174  mIoU_fg=0.4176
  e011 it0050/110 loss=0.2293 lr=9.50e-04 elapsed=11.5min
  e011 it0100/110 loss=0.2338 lr=9.46e-04 elapsed=11.8min
[epoch 011] train=0.2418  val_loss=0.4263  mIoU_fg=0.4164
  e012 it0050/110 loss=0.2493 lr=9.41e-04 elapsed=12.5min
  e012 it0100/110 loss=0.2608 lr=9.37e-04 elapsed=12.9min
[epoch 012] train=0.2558  val_loss=0.4296  mIoU_fg=0.4133
  e013 it0050/110 loss=0.2212 lr=9.32e-04 elapsed=13.6min
  e013 it0100/110 loss=0.2143 lr=9.27e-04 elapsed=13.9min
[epoch 013] train=0.2122  val_loss=0.4769  mIoU_fg=0.4349
  [best] mIoU_fg=0.4349 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e014 it0050/110 loss=0.2044 lr=9.22e-04 elapsed=14.6min
  e014 it0100/110 loss=0.1995 lr=9.17e-04 elapsed=14.9min
[epoch 014] train=0.2007  val_loss=0.4531  mIoU_fg=0.4259
  e015 it0050/110 loss=0.2004 lr=9.11e-04 elapsed=15.6min
  e015 it0100/110 loss=0.1979 lr=9.06e-04 elapsed=15.9min
[epoch 015] train=0.1967  val_loss=0.4480  mIoU_fg=0.4223
  e016 it0050/110 loss=0.1760 lr=8.99e-04 elapsed=16.6min
  e016 it0100/110 loss=0.1808 lr=8.94e-04 elapsed=16.9min
[epoch 016] train=0.1812  val_loss=0.4197  mIoU_fg=0.4333
  e017 it0050/110 loss=0.1897 lr=8.87e-04 elapsed=17.6min
  e017 it0100/110 loss=0.1900 lr=8.81e-04 elapsed=17.9min
[epoch 017] train=0.1866  val_loss=0.5116  mIoU_fg=0.4287
  e018 it0050/110 loss=0.1799 lr=8.74e-04 elapsed=18.6min
  e018 it0100/110 loss=0.1775 lr=8.68e-04 elapsed=18.9min
[epoch 018] train=0.1789  val_loss=0.5436  mIoU_fg=0.4294
  e019 it0050/110 loss=0.1799 lr=8.61e-04 elapsed=19.6min
  e019 it0100/110 loss=0.1772 lr=8.55e-04 elapsed=19.9min
[epoch 019] train=0.1743  val_loss=0.4942  mIoU_fg=0.4407
  [best] mIoU_fg=0.4407 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e020 it0050/110 loss=0.1543 lr=8.47e-04 elapsed=20.6min
  e020 it0100/110 loss=0.1549 lr=8.41e-04 elapsed=20.9min
[epoch 020] train=0.1545  val_loss=0.5760  mIoU_fg=0.4276
  e021 it0050/110 loss=0.1446 lr=8.33e-04 elapsed=21.6min
  e021 it0100/110 loss=0.1409 lr=8.26e-04 elapsed=21.9min
[epoch 021] train=0.1515  val_loss=0.4854  mIoU_fg=0.4323
  e022 it0050/110 loss=0.2569 lr=8.18e-04 elapsed=22.6min
  e022 it0100/110 loss=0.2767 lr=8.11e-04 elapsed=22.9min
[epoch 022] train=0.2737  val_loss=0.5456  mIoU_fg=0.4142
  e023 it0050/110 loss=0.1814 lr=8.02e-04 elapsed=23.6min
  e023 it0100/110 loss=0.1687 lr=7.95e-04 elapsed=23.9min
[epoch 023] train=0.1746  val_loss=0.6052  mIoU_fg=0.4379
  e024 it0050/110 loss=0.1444 lr=7.87e-04 elapsed=24.6min
  e024 it0100/110 loss=0.1422 lr=7.79e-04 elapsed=25.0min
[epoch 024] train=0.1408  val_loss=0.6022  mIoU_fg=0.4495
  [best] mIoU_fg=0.4495 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e025 it0050/110 loss=0.1263 lr=7.70e-04 elapsed=25.7min
  e025 it0100/110 loss=0.1273 lr=7.63e-04 elapsed=26.0min
[epoch 025] train=0.1252  val_loss=0.5521  mIoU_fg=0.4447
  e026 it0050/110 loss=0.1213 lr=7.54e-04 elapsed=26.7min
  e026 it0100/110 loss=0.1168 lr=7.46e-04 elapsed=27.0min
[epoch 026] train=0.1179  val_loss=0.5989  mIoU_fg=0.4529
  [best] mIoU_fg=0.4529 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e027 it0050/110 loss=0.1155 lr=7.36e-04 elapsed=27.7min
  e027 it0100/110 loss=0.1176 lr=7.29e-04 elapsed=28.0min
[epoch 027] train=0.1180  val_loss=0.5174  mIoU_fg=0.4571
  [best] mIoU_fg=0.4571 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e028 it0050/110 loss=0.1064 lr=7.19e-04 elapsed=28.7min
  e028 it0100/110 loss=0.1081 lr=7.11e-04 elapsed=29.0min
[epoch 028] train=0.1063  val_loss=0.5525  mIoU_fg=0.4491
  e029 it0050/110 loss=0.1052 lr=7.01e-04 elapsed=29.7min
  e029 it0100/110 loss=0.1035 lr=6.93e-04 elapsed=30.0min
[epoch 029] train=0.1026  val_loss=0.5900  mIoU_fg=0.4514
  e030 it0050/110 loss=0.0971 lr=6.83e-04 elapsed=30.7min
  e030 it0100/110 loss=0.0973 lr=6.75e-04 elapsed=31.1min
[epoch 030] train=0.0984  val_loss=0.6098  mIoU_fg=0.4548
  e031 it0050/110 loss=0.0902 lr=6.65e-04 elapsed=31.7min
  e031 it0100/110 loss=0.0956 lr=6.56e-04 elapsed=32.1min
[epoch 031] train=0.0936  val_loss=0.6271  mIoU_fg=0.4503
  e032 it0050/110 loss=0.0897 lr=6.46e-04 elapsed=32.7min
  e032 it0100/110 loss=0.0925 lr=6.37e-04 elapsed=33.1min
[epoch 032] train=0.0953  val_loss=0.6005  mIoU_fg=0.4568
  e033 it0050/110 loss=0.0941 lr=6.27e-04 elapsed=33.7min
  e033 it0100/110 loss=0.0920 lr=6.18e-04 elapsed=34.1min
[epoch 033] train=0.0913  val_loss=0.6830  mIoU_fg=0.4656
  [best] mIoU_fg=0.4656 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e034 it0050/110 loss=0.0921 lr=6.08e-04 elapsed=34.8min
  e034 it0100/110 loss=0.0891 lr=5.99e-04 elapsed=35.1min
[epoch 034] train=0.0877  val_loss=0.7112  mIoU_fg=0.4601
  e035 it0050/110 loss=0.0849 lr=5.89e-04 elapsed=35.8min
  e035 it0100/110 loss=0.0848 lr=5.80e-04 elapsed=36.1min
[epoch 035] train=0.0840  val_loss=0.7290  mIoU_fg=0.4485
  e036 it0050/110 loss=0.0842 lr=5.69e-04 elapsed=36.8min
  e036 it0100/110 loss=0.0845 lr=5.61e-04 elapsed=37.1min
[epoch 036] train=0.0832  val_loss=0.6443  mIoU_fg=0.4585
  e037 it0050/110 loss=0.0809 lr=5.50e-04 elapsed=37.8min
  e037 it0100/110 loss=0.0802 lr=5.41e-04 elapsed=38.1min
[epoch 037] train=0.0802  val_loss=0.7908  mIoU_fg=0.4550
  e038 it0050/110 loss=0.0786 lr=5.30e-04 elapsed=38.8min
  e038 it0100/110 loss=0.0782 lr=5.21e-04 elapsed=39.1min
[epoch 038] train=0.0794  val_loss=0.7634  mIoU_fg=0.4473
  e039 it0050/110 loss=0.0869 lr=5.11e-04 elapsed=39.8min
  e039 it0100/110 loss=0.0853 lr=5.02e-04 elapsed=40.1min
[epoch 039] train=0.0825  val_loss=0.8115  mIoU_fg=0.4530
  e040 it0050/110 loss=0.0767 lr=4.91e-04 elapsed=40.8min
  e040 it0100/110 loss=0.0764 lr=4.82e-04 elapsed=41.1min
[epoch 040] train=0.0795  val_loss=0.7439  mIoU_fg=0.4518
  e041 it0050/110 loss=0.0783 lr=4.71e-04 elapsed=41.8min
  e041 it0100/110 loss=0.0834 lr=4.63e-04 elapsed=42.1min
[epoch 041] train=0.0829  val_loss=0.7654  mIoU_fg=0.4398
  e042 it0050/110 loss=0.0829 lr=4.52e-04 elapsed=42.8min
  e042 it0100/110 loss=0.0780 lr=4.43e-04 elapsed=43.1min
[epoch 042] train=0.0773  val_loss=0.8049  mIoU_fg=0.4515
  e043 it0050/110 loss=0.0775 lr=4.32e-04 elapsed=43.8min
  e043 it0100/110 loss=0.0723 lr=4.24e-04 elapsed=44.1min
[epoch 043] train=0.0721  val_loss=0.8404  mIoU_fg=0.4533
  e044 it0050/110 loss=0.0709 lr=4.13e-04 elapsed=44.8min
  e044 it0100/110 loss=0.0702 lr=4.04e-04 elapsed=45.1min
[epoch 044] train=0.0694  val_loss=0.7907  mIoU_fg=0.4562
  e045 it0050/110 loss=0.0646 lr=3.94e-04 elapsed=45.8min
  e045 it0100/110 loss=0.0670 lr=3.85e-04 elapsed=46.1min
[epoch 045] train=0.0712  val_loss=0.8196  mIoU_fg=0.4586
  e046 it0050/110 loss=0.0707 lr=3.75e-04 elapsed=46.8min
  e046 it0100/110 loss=0.0702 lr=3.66e-04 elapsed=47.1min
[epoch 046] train=0.0704  val_loss=0.8226  mIoU_fg=0.4583
  e047 it0050/110 loss=0.0611 lr=3.56e-04 elapsed=47.8min
  e047 it0100/110 loss=0.0651 lr=3.47e-04 elapsed=48.1min
[epoch 047] train=0.0656  val_loss=0.7800  mIoU_fg=0.4539
  e048 it0050/110 loss=0.0624 lr=3.37e-04 elapsed=48.8min
  e048 it0100/110 loss=0.0630 lr=3.29e-04 elapsed=49.1min
[epoch 048] train=0.0633  val_loss=0.8151  mIoU_fg=0.4593
  e049 it0050/110 loss=0.0629 lr=3.19e-04 elapsed=49.8min
  e049 it0100/110 loss=0.0617 lr=3.10e-04 elapsed=50.1min
[epoch 049] train=0.0617  val_loss=0.8414  mIoU_fg=0.4528
  e050 it0050/110 loss=0.0597 lr=3.00e-04 elapsed=50.8min
  e050 it0100/110 loss=0.0624 lr=2.92e-04 elapsed=51.1min
[epoch 050] train=0.0611  val_loss=0.8693  mIoU_fg=0.4562
  e051 it0050/110 loss=0.0594 lr=2.83e-04 elapsed=51.8min
  e051 it0100/110 loss=0.0608 lr=2.75e-04 elapsed=52.1min
[epoch 051] train=0.0598  val_loss=0.8528  mIoU_fg=0.4611
  e052 it0050/110 loss=0.0609 lr=2.65e-04 elapsed=52.8min
  e052 it0100/110 loss=0.0591 lr=2.57e-04 elapsed=53.1min
[epoch 052] train=0.0587  val_loss=0.8506  mIoU_fg=0.4576
  e053 it0050/110 loss=0.0584 lr=2.48e-04 elapsed=53.8min
  e053 it0100/110 loss=0.0585 lr=2.40e-04 elapsed=54.1min
[epoch 053] train=0.0577  val_loss=0.8627  mIoU_fg=0.4578
  e054 it0050/110 loss=0.0571 lr=2.31e-04 elapsed=54.8min
  e054 it0100/110 loss=0.0578 lr=2.24e-04 elapsed=55.2min
[epoch 054] train=0.0600  val_loss=0.8166  mIoU_fg=0.4581
  e055 it0050/110 loss=0.0796 lr=2.15e-04 elapsed=55.9min
  e055 it0100/110 loss=0.0718 lr=2.08e-04 elapsed=56.2min
[epoch 055] train=0.0715  val_loss=0.8587  mIoU_fg=0.4568
  e056 it0050/110 loss=0.0607 lr=1.99e-04 elapsed=56.9min
  e056 it0100/110 loss=0.0595 lr=1.92e-04 elapsed=57.2min
[epoch 056] train=0.0587  val_loss=0.8651  mIoU_fg=0.4530
  e057 it0050/110 loss=0.0536 lr=1.83e-04 elapsed=57.9min
  e057 it0100/110 loss=0.0558 lr=1.77e-04 elapsed=58.2min
[epoch 057] train=0.0572  val_loss=0.8638  mIoU_fg=0.4557
  e058 it0050/110 loss=0.0542 lr=1.69e-04 elapsed=58.9min
  e058 it0100/110 loss=0.0553 lr=1.62e-04 elapsed=59.2min
[epoch 058] train=0.0555  val_loss=0.8548  mIoU_fg=0.4551
  e059 it0050/110 loss=0.0525 lr=1.54e-04 elapsed=59.9min
  e059 it0100/110 loss=0.0553 lr=1.48e-04 elapsed=60.2min
[epoch 059] train=0.0541  val_loss=0.8890  mIoU_fg=0.4545
  e060 it0050/110 loss=0.0546 lr=1.40e-04 elapsed=60.9min
  e060 it0100/110 loss=0.0537 lr=1.34e-04 elapsed=61.2min
[epoch 060] train=0.0535  val_loss=0.8665  mIoU_fg=0.4550
  e061 it0050/110 loss=0.0469 lr=1.27e-04 elapsed=61.9min
  e061 it0100/110 loss=0.0527 lr=1.21e-04 elapsed=62.2min
[epoch 061] train=0.0527  val_loss=0.8770  mIoU_fg=0.4554
  e062 it0050/110 loss=0.0540 lr=1.14e-04 elapsed=62.9min
  e062 it0100/110 loss=0.0524 lr=1.08e-04 elapsed=63.2min
[epoch 062] train=0.0559  val_loss=0.8870  mIoU_fg=0.4569
  e063 it0050/110 loss=0.0509 lr=1.02e-04 elapsed=63.9min
  e063 it0100/110 loss=0.0528 lr=9.65e-05 elapsed=64.2min
[epoch 063] train=0.0521  val_loss=0.8941  mIoU_fg=0.4543
  e064 it0050/110 loss=0.0513 lr=9.03e-05 elapsed=64.9min
  e064 it0100/110 loss=0.0522 lr=8.53e-05 elapsed=65.2min
[epoch 064] train=0.0517  val_loss=0.9014  mIoU_fg=0.4540
  e065 it0050/110 loss=0.0515 lr=7.94e-05 elapsed=65.9min
  e065 it0100/110 loss=0.0517 lr=7.46e-05 elapsed=66.2min
[epoch 065] train=0.0512  val_loss=0.8895  mIoU_fg=0.4547
  e066 it0050/110 loss=0.0510 lr=6.91e-05 elapsed=66.9min
  e066 it0100/110 loss=0.0516 lr=6.46e-05 elapsed=67.2min
[epoch 066] train=0.0522  val_loss=0.8883  mIoU_fg=0.4556
  e067 it0050/110 loss=0.0465 lr=5.95e-05 elapsed=67.9min
  e067 it0100/110 loss=0.0507 lr=5.53e-05 elapsed=68.2min
[epoch 067] train=0.0508  val_loss=0.8994  mIoU_fg=0.4545
  e068 it0050/110 loss=0.0533 lr=5.05e-05 elapsed=68.9min
  e068 it0100/110 loss=0.0513 lr=4.67e-05 elapsed=69.2min
[epoch 068] train=0.0510  val_loss=0.8840  mIoU_fg=0.4551
  e069 it0050/110 loss=0.0505 lr=4.23e-05 elapsed=69.9min
  e069 it0100/110 loss=0.0511 lr=3.87e-05 elapsed=70.2min
[epoch 069] train=0.0543  val_loss=0.8871  mIoU_fg=0.4544
  e070 it0050/110 loss=0.0500 lr=3.47e-05 elapsed=70.9min
  e070 it0100/110 loss=0.0511 lr=3.15e-05 elapsed=71.2min
[epoch 070] train=0.0503  val_loss=0.8895  mIoU_fg=0.4547
  e071 it0050/110 loss=0.0477 lr=2.79e-05 elapsed=71.9min
  e071 it0100/110 loss=0.0497 lr=2.50e-05 elapsed=72.2min
[epoch 071] train=0.0500  val_loss=0.9010  mIoU_fg=0.4544
  e072 it0050/110 loss=0.0494 lr=2.18e-05 elapsed=72.9min
  e072 it0100/110 loss=0.0507 lr=1.93e-05 elapsed=73.2min
[epoch 072] train=0.0520  val_loss=0.9007  mIoU_fg=0.4545
  e073 it0050/110 loss=0.0532 lr=1.64e-05 elapsed=73.9min
  e073 it0100/110 loss=0.0500 lr=1.42e-05 elapsed=74.2min
[epoch 073] train=0.0499  val_loss=0.9103  mIoU_fg=0.4545
  e074 it0050/110 loss=0.0506 lr=1.18e-05 elapsed=74.9min
  e074 it0100/110 loss=0.0506 lr=9.96e-06 elapsed=75.2min
[epoch 074] train=0.0497  val_loss=0.9063  mIoU_fg=0.4544
  e075 it0050/110 loss=0.0528 lr=7.94e-06 elapsed=75.9min
  e075 it0100/110 loss=0.0505 lr=6.44e-06 elapsed=76.2min
[epoch 075] train=0.0497  val_loss=0.9097  mIoU_fg=0.4543
  e076 it0050/110 loss=0.0501 lr=4.84e-06 elapsed=76.9min
  e076 it0100/110 loss=0.0497 lr=3.68e-06 elapsed=77.2min
[epoch 076] train=0.0506  val_loss=0.9110  mIoU_fg=0.4542
  e077 it0050/110 loss=0.0514 lr=2.50e-06 elapsed=77.9min
  e077 it0100/110 loss=0.0505 lr=1.68e-06 elapsed=78.2min
[epoch 077] train=0.0498  val_loss=0.9112  mIoU_fg=0.4542
  e078 it0050/110 loss=0.0499 lr=9.21e-07 elapsed=78.9min
  e078 it0100/110 loss=0.0497 lr=4.59e-07 elapsed=79.2min
[epoch 078] train=0.0518  val_loss=0.9113  mIoU_fg=0.4542
  e079 it0050/110 loss=0.0532 lr=1.15e-07 elapsed=79.9min
  e079 it0100/110 loss=0.0508 lr=3.19e-09 elapsed=80.3min
[epoch 079] train=0.0528  val_loss=0.9116  mIoU_fg=0.4542
[done] best_mIoU_fg=0.4656  total_time=80.6min
[slurm] done=2026-05-22T20:34:45+00:00
