[slurm] host=nodemm07  job=831566  start=2026-05-22T16:58:46+00:00
[slurm] btype=dinov3 size=1024 epochs=30 batch=16 lr=7e-4 out=dinoseg_dw_dinov3_1024
NVIDIA H100 NVL, 95830 MiB
  [best] mIoU_fg=0.4350 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e012 it0050/219 loss=1.1515 lr=4.50e-04 elapsed=54.7min
  e012 it0100/219 loss=1.1731 lr=4.42e-04 elapsed=55.4min
  e012 it0150/219 loss=1.1701 lr=4.34e-04 elapsed=56.2min
  e012 it0200/219 loss=1.1737 lr=4.26e-04 elapsed=56.9min
[epoch 012] train=1.1734  val_loss=1.1731  mIoU_fg=0.4350
  [best] mIoU_fg=0.4350 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e013 it0050/219 loss=1.1687 lr=4.15e-04 elapsed=59.2min
  e013 it0100/219 loss=1.1699 lr=4.06e-04 elapsed=59.9min
  e013 it0150/219 loss=1.1667 lr=3.98e-04 elapsed=60.7min
  e013 it0200/219 loss=1.1645 lr=3.90e-04 elapsed=61.4min
[epoch 013] train=1.1643  val_loss=1.1746  mIoU_fg=0.4379
  [best] mIoU_fg=0.4379 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e014 it0050/219 loss=1.1617 lr=3.78e-04 elapsed=63.7min
  e014 it0100/219 loss=1.1598 lr=3.70e-04 elapsed=64.4min
  e014 it0150/219 loss=1.1637 lr=3.62e-04 elapsed=65.2min
  e014 it0200/219 loss=1.1643 lr=3.53e-04 elapsed=65.9min
[epoch 014] train=1.1617  val_loss=1.1701  mIoU_fg=0.4404
  [best] mIoU_fg=0.4404 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e015 it0050/219 loss=1.1494 lr=3.42e-04 elapsed=68.2min
  e015 it0100/219 loss=1.1638 lr=3.33e-04 elapsed=68.9min
  e015 it0150/219 loss=1.1611 lr=3.25e-04 elapsed=69.7min
  e015 it0200/219 loss=1.1645 lr=3.17e-04 elapsed=70.4min
[epoch 015] train=1.1625  val_loss=1.1691  mIoU_fg=0.4420
  [best] mIoU_fg=0.4420 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e016 it0050/219 loss=1.1455 lr=3.05e-04 elapsed=72.7min
  e016 it0100/219 loss=1.1561 lr=2.97e-04 elapsed=73.4min
  e016 it0150/219 loss=1.1587 lr=2.89e-04 elapsed=74.1min
  e016 it0200/219 loss=1.1588 lr=2.80e-04 elapsed=74.9min
[epoch 016] train=1.1594  val_loss=1.1678  mIoU_fg=0.4438
  [best] mIoU_fg=0.4438 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e017 it0050/219 loss=1.1622 lr=2.69e-04 elapsed=77.1min
  e017 it0100/219 loss=1.1691 lr=2.61e-04 elapsed=77.9min
  e017 it0150/219 loss=1.1632 lr=2.53e-04 elapsed=78.6min
  e017 it0200/219 loss=1.1606 lr=2.45e-04 elapsed=79.4min
[epoch 017] train=1.1574  val_loss=1.1647  mIoU_fg=0.4427
  e018 it0050/219 loss=1.1535 lr=2.34e-04 elapsed=81.6min
  e018 it0100/219 loss=1.1521 lr=2.26e-04 elapsed=82.3min
  e018 it0150/219 loss=1.1530 lr=2.18e-04 elapsed=83.1min
  e018 it0200/219 loss=1.1548 lr=2.11e-04 elapsed=83.8min
[epoch 018] train=1.1528  val_loss=1.1643  mIoU_fg=0.4445
  [best] mIoU_fg=0.4445 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e019 it0050/219 loss=1.1558 lr=2.00e-04 elapsed=86.1min
  e019 it0100/219 loss=1.1573 lr=1.93e-04 elapsed=86.8min
  e019 it0150/219 loss=1.1547 lr=1.85e-04 elapsed=87.6min
  e019 it0200/219 loss=1.1559 lr=1.78e-04 elapsed=88.3min
[epoch 019] train=1.1519  val_loss=1.1646  mIoU_fg=0.4470
  [best] mIoU_fg=0.4470 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e020 it0050/219 loss=1.1634 lr=1.68e-04 elapsed=90.5min
  e020 it0100/219 loss=1.1597 lr=1.61e-04 elapsed=91.3min
  e020 it0150/219 loss=1.1599 lr=1.54e-04 elapsed=92.0min
  e020 it0200/219 loss=1.1551 lr=1.47e-04 elapsed=92.8min
[epoch 020] train=1.1507  val_loss=1.1631  mIoU_fg=0.4467
  e021 it0050/219 loss=1.1388 lr=1.38e-04 elapsed=95.0min
  e021 it0100/219 loss=1.1527 lr=1.31e-04 elapsed=95.7min
  e021 it0150/219 loss=1.1488 lr=1.25e-04 elapsed=96.5min
  e021 it0200/219 loss=1.1520 lr=1.18e-04 elapsed=97.2min
[epoch 021] train=1.1526  val_loss=1.1626  mIoU_fg=0.4459
  e022 it0050/219 loss=1.1571 lr=1.10e-04 elapsed=99.5min
  e022 it0100/219 loss=1.1504 lr=1.04e-04 elapsed=100.2min
  e022 it0150/219 loss=1.1485 lr=9.78e-05 elapsed=101.0min
  e022 it0200/219 loss=1.1516 lr=9.20e-05 elapsed=101.7min
[epoch 022] train=1.1477  val_loss=1.1627  mIoU_fg=0.4480
  [best] mIoU_fg=0.4480 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e023 it0050/219 loss=1.1343 lr=8.44e-05 elapsed=104.0min
  e023 it0100/219 loss=1.1354 lr=7.90e-05 elapsed=104.7min
  e023 it0150/219 loss=1.1380 lr=7.38e-05 elapsed=105.4min
  e023 it0200/219 loss=1.1459 lr=6.87e-05 elapsed=106.2min
[epoch 023] train=1.1478  val_loss=1.1620  mIoU_fg=0.4484
  [best] mIoU_fg=0.4484 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e024 it0050/219 loss=1.1468 lr=6.20e-05 elapsed=108.4min
  e024 it0100/219 loss=1.1438 lr=5.73e-05 elapsed=109.2min
  e024 it0150/219 loss=1.1464 lr=5.28e-05 elapsed=109.9min
  e024 it0200/219 loss=1.1454 lr=4.85e-05 elapsed=110.7min
[epoch 024] train=1.1472  val_loss=1.1617  mIoU_fg=0.4485
  [best] mIoU_fg=0.4485 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e025 it0050/219 loss=1.1502 lr=4.28e-05 elapsed=112.9min
  e025 it0100/219 loss=1.1437 lr=3.89e-05 elapsed=113.7min
  e025 it0150/219 loss=1.1452 lr=3.51e-05 elapsed=114.4min
  e025 it0200/219 loss=1.1404 lr=3.16e-05 elapsed=115.2min
[epoch 025] train=1.1446  val_loss=1.1618  mIoU_fg=0.4492
  [best] mIoU_fg=0.4492 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e026 it0050/219 loss=1.1690 lr=2.69e-05 elapsed=117.4min
  e026 it0100/219 loss=1.1613 lr=2.38e-05 elapsed=118.1min
  e026 it0150/219 loss=1.1523 lr=2.09e-05 elapsed=118.9min
  e026 it0200/219 loss=1.1494 lr=1.81e-05 elapsed=119.6min
[epoch 026] train=1.1470  val_loss=1.1614  mIoU_fg=0.4491
  e027 it0050/219 loss=1.1380 lr=1.46e-05 elapsed=121.9min
  e027 it0100/219 loss=1.1421 lr=1.23e-05 elapsed=122.6min
  e027 it0150/219 loss=1.1438 lr=1.02e-05 elapsed=123.4min
  e027 it0200/219 loss=1.1459 lr=8.32e-06 elapsed=124.1min
[epoch 027] train=1.1441  val_loss=1.1612  mIoU_fg=0.4491
  e028 it0050/219 loss=1.1420 lr=6.01e-06 elapsed=126.3min
  e028 it0100/219 loss=1.1357 lr=4.56e-06 elapsed=127.1min
  e028 it0150/219 loss=1.1418 lr=3.31e-06 elapsed=127.8min
  e028 it0200/219 loss=1.1439 lr=2.26e-06 elapsed=128.5min
[epoch 028] train=1.1447  val_loss=1.1612  mIoU_fg=0.4491
  e029 it0050/219 loss=1.1410 lr=1.14e-06 elapsed=130.8min
  e029 it0100/219 loss=1.1474 lr=5.66e-07 elapsed=131.5min
  e029 it0150/219 loss=1.1431 lr=1.90e-07 elapsed=132.3min
  e029 it0200/219 loss=1.1474 lr=1.44e-08 elapsed=133.0min
[epoch 029] train=1.1462  val_loss=1.1612  mIoU_fg=0.4491
[done] best_mIoU_fg=0.4492  total_time=134.5min
[slurm] done=2026-05-22T19:13:24+00:00
